iter	MAPE	RMSE
120	0.4372017117	432.8233393
121	0.4362667768	432.4837356
122	0.4359928378	431.8621966
123	0.4347595975	430.6922874
124	0.4317282551	429.9165158
125	0.4294058664	429.2133475
126	0.4271079745	428.7201853
127	0.4248461873	428.0956988
128	0.4236762184	426.4680153
129	0.4234174435	426.135963
130	0.4230530949	425.6579344
131	0.4219795537	424.2619739
132	0.4215502261	423.6344916
133	0.4204293819	423.3075065
134	0.4195781315	422.0458276
135	0.4186162492	421.1066954
136	0.4183006594	420.3473605
137	0.4179640409	419.7780421
138	0.417566031	418.9034403
139	0.4154305783	418.2177323
140	0.4140802721	416.8928354
141	0.4119233139	416.3379706
142	0.4110722462	415.895621
143	0.4102142569	414.967053
144	0.4088546983	413.4151141
145	0.4084740995	413.2322172
146	0.4060052164	412.6677375
147	0.4052011714	412.4669089
148	0.4047922524	412.165028
149	0.4039422091	411.8880245
150	0.4029600633	410.9578413
151	0.4023307608	410.2586857
152	0.4020275125	409.2498662
153	0.400782255	408.8477006
154	0.3985621851	408.2930364
155	0.3983358103	408.1788638
156	0.3979631605	408.0813883
157	0.39633015	407.6217526
158	0.394977127	407.346997
159	0.394371428	407.1331059
160	0.3937720856	406.4779989
161	0.3929891293	406.2640993
162	0.3925270944	406.1104461
163	0.3919196296	405.2419703
164	0.391136675	404.129947
165	0.3899283666	403.8677265
166	0.3880911287	403.4040194
167	0.3877463008	403.1494467
168	0.3867888962	402.1984092
169	0.3866859564	401.8935028
170	0.3865731065	401.3142509
171	0.3856350908	400.6442445
172	0.3854143118	400.5741657
173	0.3848775143	399.8966881
174	0.3831900854	399.5781842
175	0.3830198523	399.5258592
176	0.3828001705	399.2736259
177	0.3824744705	398.7579185
178	0.3818721716	398.4811097
179	0.3815177706	398.3425603
180	0.3811782213	398.2492921
181	0.3809383613	397.646326
182	0.3808120823	397.5494091
183	0.3795554228	397.1676708
184	0.3792563404	396.5944526
185	0.3785840717	395.7590568
186	0.3777840309	395.000082
187	0.3766619655	394.1434576
188	0.3765085008	394.0723869
189	0.3758907369	392.9944807
190	0.3754145464	392.7937253
191	0.3751509921	392.7211136
192	0.3748206172	392.3257595
193	0.3742724162	391.8110707
194	0.3739378319	391.2598587
195	0.3737721308	390.8408324
196	0.37352607	390.4087668
197	0.3729711433	389.7937896
198	0.3723973103	389.2759906
199	0.3719143579	389.0663901
200	0.3718363043	388.9734909
201	0.3709269924	388.7911189
202	0.3701334844	388.1013246
203	0.369515649	387.4973063
204	0.3682986434	387.1717272
205	0.3681343353	386.966699
206	0.3676897159	386.3635382
207	0.3669883514	385.8108468
208	0.3665576468	385.4298797
209	0.3658442905	384.7688741
210	0.3650293154	384.4602563
211	0.3648892629	384.2510461
212	0.3646965975	383.941869
213	0.3644259155	383.8522519
214	0.3641500471	383.7828639
215	0.364083226	383.5559939
216	0.3632661467	382.8229422
217	0.3628670046	382.0445395
218	0.3619440195	381.8401924
219	0.3616288589	381.5543951
220	0.3611432701	380.8890255
221	0.3609094387	380.2833156
222	0.3607523876	379.8804822
223	0.36004838	379.5781226
224	0.3599079779	379.5277745
225	0.3596191036	378.9968811
226	0.3592760444	378.9027602
227	0.3585045055	378.7128058
228	0.3579341173	378.3665806
229	0.3577033281	377.971781
230	0.3573557938	377.6635992
231	0.3572807697	377.4524924
232	0.356621499	377.2944847
233	0.3556080322	377.067461
234	0.354913966	376.2821819
235	0.3547457121	376.0237497
236	0.3544853996	375.7766339
237	0.353633255	375.0644187
238	0.3533066556	374.9107819
239	0.3530113204	374.6457016
240	0.3529236528	374.5387363
241	0.3528160747	374.516557
242	0.352601144	374.1453181
243	0.3522276499	373.9225678
244	0.3521992621	373.8785143
245	0.3516212711	373.5681694
246	0.3513340449	373.364767
247	0.3509233053	373.2764345
248	0.3504764133	373.0623141
249	0.3501255479	372.2887681
250	0.3500157636	372.1334528
251	0.3498338685	371.9434262
252	0.3493745207	371.4554414
253	0.3491114629	370.9998146
254	0.3484315651	370.8796295
255	0.3484275068	370.7220732
256	0.3482694999	370.653236
257	0.3482792088	370.4497007
258	0.3482684666	370.3190228
259	0.3480257468	370.1645124
260	0.3475164355	369.7428252
261	0.3472894277	369.461868
262	0.3469685147	369.0514198
263	0.346767301	368.864619
264	0.3455098411	368.564691
265	0.3453577648	368.3640417
266	0.3450415532	368.1561858
267	0.3444671225	367.858105
268	0.3441204237	367.7371414
269	0.3439437194	367.5348011
270	0.3436143767	367.1378543
271	0.3434326208	367.0295797
272	0.3433211641	366.8407015
273	0.3429958083	366.709414
274	0.3429472414	366.3908558
275	0.3421078525	366.1576617
276	0.3419729277	366.0476099
277	0.3412354325	365.9126518
278	0.3409615526	365.7451875
279	0.3408432017	365.3459352
280	0.3403026617	364.9745113
281	0.3398518221	364.5943415
282	0.3393279498	364.4033894
283	0.3389265732	364.0516884
284	0.3386968587	363.8222031
285	0.3381881994	363.5691232
286	0.3378401999	363.3302278
287	0.3378584232	363.2129796
288	0.3377986653	362.9883548
289	0.3375310223	362.7173692
290	0.3371396744	362.5345631
291	0.3368876258	362.3647582
292	0.3364850013	361.7836001
293	0.3360446276	361.4779878
294	0.3356618577	361.266154
295	0.3354423046	361.1516233
296	0.3347479529	361.0096721
297	0.3345124266	360.9084569
298	0.3344615923	360.728553
299	0.3342641237	360.600147
300	0.3335889491	360.4846894
301	0.3335055293	360.1567947
302	0.3333202685	360.0706733
303	0.3331003935	359.9320689
304	0.3329535786	359.6283346
305	0.3327156018	359.451294
306	0.3325940649	359.2581913
307	0.3325409131	359.1427879
308	0.3324183469	358.9513693
309	0.3323338587	358.8344253
310	0.3321579447	358.7430929
311	0.331960655	358.5028063
312	0.3317150919	358.3419569
313	0.3311711897	358.1331324
314	0.3309830585	357.9224388
315	0.3307041634	357.730952
316	0.3305949603	357.607786
317	0.3305154713	357.4879804
318	0.3299515916	357.1998639
319	0.3298433901	357.1682651
320	0.3296200041	356.9981973
321	0.3295173337	356.8249143
322	0.3294096391	356.6780949
323	0.3289307365	356.2214881
324	0.3285753966	356.0372799
325	0.3279714806	355.8905322
326	0.327746987	355.759489
327	0.3276551362	355.5943263
328	0.3276062137	355.5784852
329	0.3275532094	355.4105627
330	0.3271561554	354.8333586
331	0.3271249302	354.8109135
332	0.3270087599	354.7019737
333	0.3266822427	354.354639
334	0.3264726247	354.0990076
335	0.3262272164	353.9172537
336	0.3261006849	353.7625865
337	0.3258619758	353.645573
338	0.3256990107	353.4373125
339	0.3252677123	353.0588946
340	0.3252388936	352.9259187
341	0.3249949962	352.5544615
342	0.324421941	352.3735832
343	0.3243306836	352.2051542
344	0.3240842432	352.0596947
345	0.3239009641	351.9917653
346	0.3237382782	351.8214071
347	0.3236501234	351.7180062
348	0.3233728418	351.6749941
349	0.3231161155	351.5075039
350	0.3229144939	351.0292294
351	0.3226526739	350.9293723
352	0.3222838217	350.5872727
353	0.3220661574	350.2148005
354	0.3218032715	350.0529072
355	0.3216934089	349.7166753
356	0.3214386255	349.5394761
357	0.3211620468	349.1570311
358	0.3208806679	348.7159129
359	0.3208015967	348.7041454
360	0.320810409	348.6566486
361	0.3204980384	348.2970949
362	0.3203435572	348.212023
363	0.3197310849	347.907037
364	0.3195020528	347.8013118
365	0.3191895847	347.6916783
366	0.3191490837	347.5857416
367	0.3185398554	347.3512451
368	0.3185586195	347.024438
369	0.3182800139	346.8176256
370	0.3178697989	346.6231486
371	0.3178143588	346.5733785
372	0.3177683886	346.5354356
373	0.317677351	346.4435733
374	0.3173286163	346.2611142
375	0.3170455705	346.1204003
376	0.3168923437	345.9384036
377	0.3167584488	345.7286008
378	0.3166132989	345.1134373
379	0.3163451628	344.8751968
380	0.3160542625	344.6074409
381	0.3159261808	344.5372309
382	0.3156621286	344.3031941
383	0.3154370816	344.2075398
384	0.3153324742	344.0606394
385	0.3152162931	343.9832154
386	0.3150690974	343.765079
387	0.3145930091	343.6174753
388	0.3144002413	343.4189841
389	0.3143450804	343.3754689
390	0.3143073453	343.1781834
391	0.3140670634	342.9799068
392	0.3140159008	342.850883
393	0.3137391515	342.7909787
394	0.3134765702	342.6630045
395	0.3133585191	342.5706954
396	0.3129807033	342.4818506
397	0.3129318912	342.31959
398	0.3126399578	342.1105039
399	0.3125950871	342.0507038
400	0.3125315874	341.924545
401	0.31255531	341.7680641
402	0.3121580089	341.6128637
403	0.3119801882	341.4454609
404	0.3118993568	341.1914044
405	0.3119158329	341.0908123
406	0.3116331409	340.8254464
407	0.3115383774	340.7729424
408	0.3111933485	340.5984133
409	0.3107852149	340.5015062
410	0.3103829652	340.4228091
411	0.310188622	340.240012
412	0.3099569833	339.935888
413	0.3095873093	339.8068421
414	0.3094771012	339.5968591
